"house","name","native_or_non_native","species","family","coniferous_not","dbh_out_cm","ht_m","canopy_density_percent","cbh","density_g_cm3","biomass_chave_kg","basal_area_m_2","canopy_width_m","canopy_length_m","crown_area_m2","type","dissemination_area"
"R21","Japanese cherry","non-native","Prunus serrulata","Rosaceae","dec",60,8.2,70,"1.2",0.56,881.211465719169,0.282743338823081,9.7,8,60.946897479642,"tree","R2"
"R21","Japanese cherry","non-native","Prunus serrulata","Rosaceae","dec",52,8.8,60,"2,5",0.56,714.003257847759,0.21237166338267,9,6.5,45.9457925587507,"tree","R2"
"R21","Common lilac","non-native","Syringa vulgaris","Oleaceae","dec",10,5,30,"1.66",0.55,16.1734910820578,0.00785398163397448,3,2.5,5.89048622548086,"tree","R2"
"R21","Common lilac","non-native","Syringa vulgaris","Oleaceae","dec",18.03,5.5,50,"1.2",0.55,56.0927448918685,0.025531794181559,4.3,6.5,21.9518786669587,"tree","R2"
"R21","Southern magnolia","non-native","Magnolia grandifolia","Magnoliaceae","dec",37,6,60,"2.5",0.47,213.102212790046,0.107521008569111,4.3,4,13.5088484104361,"tree","R2"
"R22","Rosebay rhododendron","non-native","Rhododendron maximum","Ericaceae","dec",17.12,4.5,70,"1.7",0.47,35.7533983119687,0.0230195803462077,2.2,4.8,8.29380460547705,"tree","R2"
"R22","Rosebay rhododendron","non-native","Rhododendron maximum","Ericaceae","dec",16.25,4.5,65,"1.5",0.47,32.2926552456967,0.0207394202522139,2.7,4.8,10.1787601976309,"tree","R2"
"R22","Cherry laurel","non-native","Prunus laurocerasus","Rosaceae","dec",39.7,12,70,"1.5",0.48,490.937805810188,0.123785819134908,7.5,6,35.3429173528852,"tree","R2"
"R22","Taiwanese photinia","non-native","Photinia serratifolia","Rosaceae","dec",9.43,3.5,70,"1",0.58,10.7245239012907,0.00698414531403017,2,2.5,3.92699081698724,"tree","R2"
"R23","Persian ironwood","non-native","Parrotia persica","Hamamelidaceae","dec",7.64,4.5,85,"1.5",0.7,10.9185357559404,0.00458433766382437,1,1,0.785398163397448,"tree","R2"
"R23","Persian ironwood","non-native","Parrotia persica","Hamamelidaceae","dec",7,4.4,85,"1.5",0.7,9.00475575758548,0.0038484510006475,1,1,0.785398163397448,"tree","R2"
"R23","Apple","non-native","Malus domestica","Rosaceae","dec",33.44,8,60,"1.8",0.65,317.835266550316,0.0878258615689317,9,7.5,53.0143760293278,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",12.41,7,75,"1.5",0.38,23.8639350893711,0.0120957678888331,2.4,2.4,4.5238934211693,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",11.14,7.2,65,"1.5",0.38,19.868279622845,0.0097467597918358,2.4,2.4,4.5238934211693,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",10.51,7.1,70,"1.5",0.38,17.4936528730223,0.00867551596686985,2.4,2.4,4.5238934211693,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",11.78,6.9,65,"1.5",0.38,21.2557373028961,0.0108988446497602,2.4,2.4,4.5238934211693,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",6.37,7.2,65,"1.5",0.38,6.67299105912849,0.00318690227363619,2.4,2.4,4.5238934211693,"tree","R2"
"R23","Southern magnolia","non-native","Magnolia grandifolia","Magnoliaceae","dec",4.77,2.6,80,"0.9",0.47,1.72768450040056,0.00178700858719658,1,1,0.785398163397448,"tree","R2"
"R23","Southern magnolia","non-native","Magnolia grandifolia","Magnoliaceae","dec",3.18,2.4,80,"0.7",0.47,0.72411323217666,0.000794226038754036,0.8,0.8,0.502654824574367,"tree","R2"
"R23","Kousa dogwood","non-native","Cornus kousa","Cornaceae","dec",3.18,4.6,55,"1.1000000000000001",0.6,1.73412367132001,0.000794226038754036,3.1,2.8,6.81725605828985,"tree","R2"
"R23","Kousa dogwood","non-native","Cornus kousa","Cornaceae","dec",6.05,4.7,60,"1.4",0.6,6.21505083545572,0.00287475362757551,2.7,2.8,5.93761011528471,"tree","R2"
"R23","Kousa dogwood","non-native","Cornus kousa","Cornaceae","dec",5.41,4.5,20,"1.3",0.6,4.7888050726342,0.00229871119861329,2.1,1.8,2.96880505764235,"tree","R2"
"R23","Kousa dogwood","non-native","Cornus kousa","Cornaceae","dec",7.32,4.6,60,"1.5",0.6,8.82811452544529,0.00420835185504274,3,2.4,5.65486677646163,"tree","R2"
"R23","Katsura tree","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",6.37,4.7,55,"1.2",0.38,4.40079902563194,0.00318690227363619,2.8,2.6,5.71769862953342,"tree","R2"
"R31","Common fig","non-native","Ficus carica","Moraceae","dec",18.3,2.1,40,"0.2",0.56,22.9634500480468,0.0263021990940171,3,3,7.06858347057703,"tree","R3"
"R31","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",12.5,1.9,95,"0",0.53,9.37864663255655,0.0122718463030851,3.5,3.5,9.62112750161874,"tree","R3"
"R31","Katsura","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",1,1.7,60,"0.2",0.38,0.0439341270689078,7.85398163397448e-05,1,1,0.785398163397448,"tree","R3"
"R31","Katsura","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",1,1.7,60,"0.1",0.38,0.0439341270689078,7.85398163397448e-05,0.5,0.5,0.196349540849362,"tree","R3"
"R31","Dappled willow","non-native","Salix integra","Salicaceae","dec",5.3,2,95,"0.2",0.4,1.40351606805533,0.00220618344098343,2.5,2,3.92699081698724,"tree","R3"
