House;Species;Native;Type;Fruiting;Flowering;Grain
;hydrangea;non;Shrub;n;n;n
;common boxwood;non;Shrub;n;n;n
;oriental arborvitae;non;Shrub;n;n;n
M14;Busy Lizzie ;non;Plant;y;n;n
;lady fern;native;Plant;n;n;n
;Common foxglove;non;Plant;y;n;n
;Lenten rose;non;Plant;n;n;n
;cornflower;non;Plant;n;n;n
;Rhubarb;non;Plant;n;n;n
;spearmint;non;Plant;n;n;n
;Rosemint;non;Plant;n;n;n
;creeping jenny;non;Plant;n;n;n
;chives;non;Plant;n;n;n
;sweet william;non;Plant;n;n;n
;strawberry;native;Plant;n;n;n
;raddish;non;Plant;n;n;n
;tomato;non;Plant;n;n;n
;garden nasturtium;non;Plant;n;n;n
;African marigold;non;Plant;y;n;n
;annual honesty;non;Plant;n;n;n
;plantain lily;non;Plant;n;n;n
;common holly lock;non;Plant;n;n;n
;august lily;non;Plant;n;n;n
;grapeleaf anemone;non;Plant;n;n;n
;cabbage;non;Plant;n;n;n
; Lettuce;non;Plant;n;n;n
;creeping buttercup;non;Plant;n;n;n
;ditch lily;non;Plant;n;n;n
;winter creeper;non;Plant;n;n;n
;Japanese meadowsweet;non;Plant;n;n;n
;Asian virginsbower;non;Plant;n;n;n
;Peruvian lily;non;Plant;n;n;n
;western wallflower;native;Plant;n;n;n
;cabbage tree ;non;Plant;n;n;n
;crevice alumroot ;native;Plant;y;n;n
;zonal geranium;non;Plant;y;n;n
;garden petunia;non;Plant;y;n;n
;basil;non;Plant;n;n;n
;Johnny jump up ;non;Plant;y;n;n
;hardy fuchsia;non;Plant;n;n;n
;Sweet alyssum;non;Plant;y;n;n
;Spanish bluebell;non;Plant;y;n;n
;Sticky geranium;native;Plant;y;n;n
;Western sword fern;native;Plant;n;n;n
;Vanhouttei spires;non;Shrub;y;n;n
;China rose ;non;Shrub;n;n;n
;Peony;non;Shrub;n;n;n
;Weeping forsythia;non;Shrub;n;n;n
;Tree peony;non;Shrub;n;n;n
;Rose of sharon;non;Shrub;n;n;n
;Sweet mock orange;native;Shrub;y;n;n
;common ninebark;native;Shrub;y;n;n
;Chinese wisteria;non;Shrub;y;n;n
;Bigleaf hydrangea;non;Shrub;y;n;n
;False spirea;non;Shrub;n;n;n
M21;chives;non;Plant;n;n;n
;creeping buttercup;non;Plant;n;n;n
;wall lettuce;non;Plant;n;n;n
;field horsetail;native;Plant;n;n;n
;bindweed;non;Plant;n;n;n
;ditch lily;non;Plant;n;n;n
;China rose;non;Shrub;n;n;n
;sweat mock orange;native;Shrub;n;n;n
;red raspberry;native;Shrub;n;n;n
;highbush blueberry;native;Shrub;n;n;n
M22;onion;non;Plant;n;n;n
;large bindweed;non;Plant;y;n;n
;english ivy;non;Plant;n;n;n
;lady fern;native;Plant;n;n;n
;yellow corydalis;non;Plant;y;n;n
;siberian bugloss;non;Plant;y;n;n
;english holly;non;Plant;n;n;n
;plantain lily;non;Plant;n;n;n
;China rose;non;Shrub;n;n;n
;common boxwood;non;Shrub;n;n;n
;Thuja accidentalis;non;Shrub;n;n;n
;English holly;non;Shrub;n;n;n
;common hawthorn;non;Shrub;n;n;n
M23;plantain lily;non;Plant;n;n;n
;dusty miller;non;Plant;n;n;n
;creeping jenny;non;Plant;n;n;n
;zonal geranium;non;Plant;y;n;n
;lady fern;native;Plant;n;n;n
;english ivy;non;Plant;n;n;n
;creeping woodsorrel;non;Plant;n;n;n
;spanish bluebell;non;Plant;n;n;n
;garden snapdragon;non;Plant;y;n;n
;herb robert;native;Plant;y;n;n
;woodland strawberry;native;Plant;n;n;n
;fragrant sweet box;non;Plant;n;n;n
;lenten rose;non;Plant;n;n;n
;common daisy;non;Plant;y;n;n
;feverfew;non;Plant;n;n;n
;wild daffodil;non;Plant;n;n;n
;hardy fuchsia;non;Plant;n;n;n
;common columbine;native;Plant;n;n;n
;large white petunia;non;Plant;n;n;n
;sweet alyssum;non;Plant;y;n;n
;chives;non;Plant;n;n;n
;peony;non;Plant;n;n;n
;rhubarb;non;Plant;n;n;n
;tiger lily;non;Plant;n;n;n
;dill;non;Plant;n;n;n
;coriander;non;Plant;n;n;n
;solomon's seal;native;Plant;y;n;n
;edging lobelia;non;Plant;n;n;n
;common yarrow;native;Plant;n;n;n
;virginia creeper;non;Plant;n;n;n
