"house","name","native_or_non_native","type","dissemination_area"
"M14","Western sword fern","native","plant","M1"
"M21","Chives","non-native","plant","M2"
"M21","Creeping buttercup","non-native","plant","M2"
"M21","Wall lettuce","non-native","plant","M2"
"M21","Field horsetail","native","plant","M2"
"M21","Bindweed","non-native","plant","M2"
"M21","Ditch lily","non-native","plant","M2"
"M22","Onion","non-native","plant","M2"
"M22","Large bindweed","non-native","plant","M2"
"M22","English ivy","non-native","plant","M2"
"M22","Lady fern","native","plant","M2"
"M22","Yellow corydalis","non-native","plant","M2"
"M22","Siberian bugloss","non-native","plant","M2"
"M22","English holly","non-native","plant","M2"
"M22","Plantain lily","non-native","plant","M2"
"M23","Plantain lily","non-native","plant","M2"
"M23","Dusty miller","non-native","plant","M2"
"M23","Creeping jenny","non-native","plant","M2"
"M23","Zonal geranium","non-native","plant","M2"
"M23","Lady fern","native","plant","M2"
"M23","English ivy","non-native","plant","M2"
"M23","Creeping woodsorrel","non-native","plant","M2"
"M23","Spanish bluebell","non-native","plant","M2"
"M23","Garden snapdragon","non-native","plant","M2"
"M23","Herb robert","native","plant","M2"
"M23","Woodland strawberry","native","plant","M2"
"M23","Fragrant sweet box","non-native","plant","M2"
"M23","Lenten rose","non-native","plant","M2"
"M23","Common daisy","non-native","plant","M2"
"M23","Feverfew","non-native","plant","M2"
"M23","Wild daffodil","non-native","plant","M2"
"M23","Hardy fuchsia","non-native","plant","M2"
"M23","Common columbine","native","plant","M2"
"M23","Large white petunia","non-native","plant","M2"
"M23","Sweet alyssum","non-native","plant","M2"
"M23","Chives","non-native","plant","M2"
"M23","Peony","non-native","plant","M2"
"M23","Rhubarb","non-native","plant","M2"
"M23","Tiger lily","non-native","plant","M2"
"M23","Dill","non-native","plant","M2"
"M23","Coriander","non-native","plant","M2"
"M23","Solomon's seal","native","plant","M2"
"M23","Edging lobelia","non-native","plant","M2"
"M23","Common yarrow","native","plant","M2"
"M23","Virginia creeper","non-native","plant","M2"
"M24","Lady fern","native","plant","M2"
"M24","Iceland poppy","non-native","plant","M2"
"M24","Herb robert","native","plant","M2"
"M24","Creeping buttercup","non-native","plant","M2"
"M24","Peony","non-native","plant","M2"
"M24","Spanish bluebell","non-native","plant","M2"
"M31","Creeping buttercup","non-native","plant","M3"
"M31","Sword fern","native","plant","M3"
"M31","Lady fern","native","plant","M3"
"M31","Leafy spurge","non-native","plant","M3"
"M31","Strawberry","native","plant","M3"
"M31","Tomato","non-native","plant","M3"
"M31","Spanish bluebell","non-native","plant","M3"
"M31","English lavender","non-native","plant","M3"
"M31","Giant onion","non-native","plant","M3"
"M31","Plantain lily","non-native","plant","M3"
"M41","Garden verbena","non-native","plant","M4"
"M41","Garden petunia","non-native","plant","M4"
"M41","Lenten rose","non-native","plant","M4"
"M41","Plantain lily","non-native","plant","M4"
"M41","Hakone grass","non-native","plant","M4"
"M41","Upright sedge","non-native","plant","M4"
"M41","Lily of the valley","non-native","plant","M4"
"M41","Hart's tongue fern","non-native","plant","M4"
"M41","Creeping jenny","non-native","plant","M4"
"M41","Bacopa","non-native","plant","M4"
"M41","Evergreen candytuft","non-native","plant","M4"
"M41","Chives","non-native","plant","M4"
"M41","Wax begonia","non-native","plant","M4"
"M41","Big blue lilyturf","non-native","plant","M4"
"M42","Chives","non-native","plant","M4"
"M42","Sweet fennel","non-native","plant","M4"
"M42","Garlic","non-native","plant","M4"
"M42","Lettuce","non-native","plant","M4"
"M42","Wall lettuce","non-native","plant","M4"
"M42","Large bindweed","non-native","plant","M4"
"M42","English ivy","non-native","plant","M4"
"M42","Grapeleaf anemone","non-native","plant","M4"
"M42","Creeping buttercup","non-native","plant","M4"
"M42","Iceland poppy","non-native","plant","M4"
"M42","Common nipplewort","non-native","plant","M4"
"M42","Creeping woodsorrel","non-native","plant","M4"
"M42","Thimbleberry","native","plant","M4"
"M42","Western sword fern","native","plant","M4"
"M42","Ground elder","non-native","plant","M4"
"M42","Horseradish","non-native","plant","M4"
"M42","Common bean","non-native","plant","M4"
"M42","Common columbine","native","plant","M4"
"M42","Rhubarb","non-native","plant","M4"
"M42","Parsley","non-native","plant","M4"
"R11","Orpine","non-native","plant","R1"
"R11","Common bugloss","non-native","plant","R1"
"R11","Candle larkspur","non-native","plant","R1"
"R11","Basil","non-native","plant","R1"
"R11","Chives","non-native","plant","R1"
"R11","Longleaf speedwell","non-native","plant","R1"
"R11","Spanish bluebell","non-native","plant","R1"
"R11","English ivy","non-native","plant","R1"
"R12","Lavender","non-native","plant","R1"
"R12","Parsley","non-native","plant","R1"
"R12","Mint","non-native","plant","R1"
"R12","Common sage","non-native","plant","R1"
"R12","Blueberry","native","plant","R1"
"R12","White impatiens","non-native","plant","R1"
"R12","False buck's beard","native","plant","R1"
"R12","Lenten rose","non-native","plant","R1"
"R12","Dusty miller","non-native","plant","R1"
"R12","Garden dahlia","non-native","plant","R1"
"R13","Garden tulip","non-native","plant","R1"
"R13","Sword fern","native","plant","R1"
"R13","English ivy","non-native","plant","R1"
"R13","Winter creeper","non-native","plant","R1"
"R13","Plantain lily","non-native","plant","R1"
"R13","Iceland poppy","non-native","plant","R1"
"R13","Spurge laurel","non-native","plant","R1"
"R13","Thimbleberry","native","plant","R1"
"R13","Spanish bluebell","non-native","plant","R1"
"R13","Fatsia japonica","non-native","plant","R1"
"R21","Strawberry","native","plant","R2"
"R21","Feverfew","non-native","plant","R2"
"R21","Old-fashioned weigela","non-native","plant","R2"
"R21","Shasta daisy","non-native","plant","R2"
"R21","Peppermint","non-native","plant","R2"
"R21","Chives","non-native","plant","R2"
"R21","Zonal geranium","non-native","plant","R2"
"R21","China rose","non-native","plant","R2"
"R21","Woodland forget-me-not","non-native","plant","R2"
"R21","Lemon balm","non-native","plant","R2"
"R21","Evergreen candytuft","non-native","plant","R2"
"R21","Lily of the valley","non-native","plant","R2"
"R21","Iceland poppy","non-native","plant","R2"
"R21","Swamp sunflower","non-native","plant","R2"
"R22","Creeping bellflower","non-native","plant","R2"
"R22","Anise","non-native","plant","R2"
"R22","Japanese honeysuckle","non-native","plant","R2"
"R22","Common periwinkle","non-native","plant","R2"
"R22","Spanish bluebell","non-native","plant","R2"
"R22","China rose","non-native","plant","R2"
"R22","Plantain lily","non-native","plant","R2"
"R22","Yellow flag","non-native","plant","R2"
"R23","Polystichum braunii","native","plant","R2"
"R23","Lavandula angustifolia","non-native","plant","R2"
"R23","Strawberry","native","plant","R2"
"R23","Festuca californica","non-native","plant","R2"
"R23","Viola tricolor","non-native","plant","R2"
"R23","Hakonechloa macra","non-native","plant","R2"
"R31","Ditch lily","non-native","plant","R3"
"R31","Garden tulip","non-native","plant","R3"
"R31","Garden phlox","non-native","plant","R3"
"R31","Bigleaf hydrangea","non-native","plant","R3"
"R31","Giant onion","non-native","plant","R3"
"R31","Lady's mantle","non-native","plant","R3"
"R31","Siberian iris","non-native","plant","R3"
"R31","Chinese astilbe","non-native","plant","R3"
"R31","August lily","non-native","plant","R3"
"R31","Spreading rush","non-native","plant","R3"
"R31","Wild geranium","non-native","plant","R3"
"R31","Common lady fern","native","plant","R3"
"R31","Common comfrey","non-native","plant","R3"
"R31","Hakone grass","non-native","plant","R3"
"R31","Iceland poppy","non-native","plant","R3"
"R31","Strawberry","native","plant","R3"
"R31","Whorled tickseed","non-native","plant","R3"
"R31","Kale","non-native","plant","R3"
"R31","Raspberry","native","plant","R3"
"R31","Garden asparagus","non-native","plant","R3"
"R31","Potato","non-native","plant","R3"
"R31","Cornflower","non-native","plant","R3"
"R31","Zonal geranium","non-native","plant","R3"
"R32","Creeping buttercup","non-native","plant","R3"
"R32","Common lady fern","native","plant","R3"
"R32","English ivy","non-native","plant","R3"
"R32","Siebold's plantain lily","non-native","plant","R3"
"R32","Ditch lily","non-native","plant","R3"
"R32","Peony","non-native","plant","R3"
"R32","Solomon's seal","native","plant","R3"
"R32","Yellow archangel","non-native","plant","R3"
"R32","Redwood sorrel","native","plant","R3"
"R33","Creeping bellflower","non-native","plant","R3"
"R33","Wall lettuce","non-native","plant","R3"
"R33","Norway maple","non-native","plant","R3"
"R33","Cornflower","non-native","plant","R3"
"R33","Spanish bluebell","non-native","plant","R3"
"R33","Orange coneflower","non-native","plant","R3"
"R33","Plantain lily","non-native","plant","R3"
"R33","Ditch lily","non-native","plant","R3"
"R33","White panicle","non-native","plant","R3"
"R33","Creeping buttercup","non-native","plant","R3"
"R33","Yellow archangel","non-native","plant","R3"
"R33","Wax begonia","non-native","plant","R3"
"R34","Garden petunia","non-native","plant","R3"
"R34","Lady's mantle","non-native","plant","R3"
"R34","Siberian iris","non-native","plant","R3"
"R34","Rhubarb","non-native","plant","R3"
"R34","Bacopa","non-native","plant","R3"
"R34","Sweet potato vine","non-native","plant","R3"
"R34","Zonal geranium","non-native","plant","R3"
"R34","Garden verbena","non-native","plant","R3"
"R34","Ivy geranium","non-native","plant","R3"
"R34","Lady fern","native","plant","R3"
"R34","Pacific bleeding heart","native","plant","R3"
"R34","Sweet violet","non-native","plant","R3"
"R34","Common holly","non-native","plant","R3"
"R34","English ivy","non-native","plant","R3"
"R34","Wall lettuce","non-native","plant","R3"
"R34","Creeping woodsorrel","non-native","plant","R3"
"R34","Garden lupine","non-native","plant","R3"
"R34","Sweet william","non-native","plant","R3"
"R34","Garden snapdragon","non-native","plant","R3"
"R34","Hardy fuchsia","non-native","plant","R3"
"R34","Oregano","non-native","plant","R3"
"R34","Tarragon","non-native","plant","R3"
"P11","Juniperus comunis","native","shrub","P1"
"P11","Ilex","non-native","shrub","P1"
"P11","Chamaecyparis","non-native","shrub","P1"
"P12","Actinidia chinensis","non-native","shrub","P1"
"P12","Rosa chinensis","non-native","shrub","P1"
"P12","Wisteria sinensis","non-native","shrub","P1"
"P13","China rose","non-native","shrub","P1"
"P13","Chinese boxthorn","non-native","shrub","P1"
"P13","Chinese wolfberry","non-native","shrub","P1"
"P14","Japanese maple","non-native","shrub","P1"
"P14","Hortensia","non-native","shrub","P1"
"P14","Japanese pieris","non-native","shrub","P1"
"P14","Mirror plant","non-native","shrub","P1"
"P14","Rose of sharon","non-native","shrub","P1"
"P14","Dappled willow","non-native","shrub","P1"
"P14","Pacific rhododendron","native","shrub","P1"
"P21","Vine kiwi","non-native","shrub","P2"
"P21","Highbush blueberry","native","shrub","P2"
"P21","Red raspberry","native","shrub","P2"
"P21","Common boxwood","non-native","shrub","P2"
"P22","Pacific rhododendron","native","shrub","P2"
"P22","Japanese skimmia","non-native","shrub","P2"
"P22","Japanese maple","non-native","shrub","P2"
"P22","Japanese camellia","non-native","shrub","P2"
"P22","Spurge laurel","non-native","shrub","P2"
"P31","Chinese wisteria","non-native","shrub","P3"
"P31","Rue","non-native","shrub","P3"
"P31","China rose","non-native","shrub","P3"
"P31","Peony","non-native","shrub","P3"
"P31","Chinese wolfberry","non-native","shrub","P3"
"P31","Tree peony","non-native","shrub","P3"
"P31","Blueblossom","non-native","shrub","P3"
"P31","Japanese maple","non-native","shrub","P3"
"P31","Japanese pieris","non-native","shrub","P3"
"P31","Heavenly bamboo","non-native","shrub","P3"
"P31","Fig","non-native","shrub","P3"
"P31","Chayote","non-native","shrub","P3"
"P32","Pacific rhododendron","native","shrub","P3"
"P32","Oriental arbovitae","non-native","shrub","P3"
"P32","Highbush blueberry","native","shrub","P3"
"P32","China rose","non-native","shrub","P3"
"P32","Bay laurel","non-native","shrub","P3"
"P32","Common boxwood","non-native","shrub","P3"
"P41","Red raspberry","native","shrub","P4"
"P41","Red currant","non-native","shrub","P4"
"P41","Multiflora rose","non-native","shrub","P4"
"P41","Pacific rhododendron","native","shrub","P4"
"P41","China rose","non-native","shrub","P4"
"P41","Western red cedar","native","shrub","P4"
"P41","Evergreen azalea","non-native","shrub","P4"
"P41","Bigleaf hydrangea","non-native","shrub","P4"
"P41","English lavender","non-native","shrub","P4"
"P41","Virgin's bower","non-native","shrub","P4"
"M11","Red huckleberry","native","shrub","M1"
"M11","Mexican orange","non-native","shrub","M1"
"M11","Chinese wisteria","non-native","shrub","M1"
"M11","Multiflora rose","non-native","shrub","M1"
"M11","Pacific rhododendron","native","shrub","M1"
"M11","Japanese skimmia","non-native","shrub","M1"
"M11","Vine maple","native","shrub","M1"
"M11","Common boxwood","non-native","shrub","M1"
"M11","Vasevine","non-native","shrub","M1"
"M11","Evergreen candytuft","non-native","shrub","M1"
"M11","Tree peony","non-native","shrub","M1"
